addr	symbol	size	class	source	status	fuzzy	alternatives
00172c38	func_00172c38	100	loop	lift	exact	100.00	m2c:near:55.2;ghidra:near:40.28;e3:near:37.58
00172e48	func_00172e48	60	straight	lift	exact	100.00	ghidra:exact:100.0;m2c:exact:100.0
00172f00	func_00172f00	44	straight	lift	exact	100.00	ghidra:exact:100.0;m2c:near:81.82
00172fb0	func_00172fb0	84	straight	lift	near	62.82	m2c:near:56.38;ghidra:near:0.0
00173008	func_00173008	124	straight	m2c	near	46.10	ghidra:near:3.71
00173270	_ZN2YS21method_message_is_endEP8BD_VALUE	40	straight	lift	exact	100.00	m2c:near:98.0;corpus:near:82.83;ghidra:near:77.4
001732c8	_ZN2YS17trap_bg_cross_posEP8BD_VALUE	56	straight	lift	near	98.43	e3:near:98.43;ghidra:near:98.43;m2c:near:98.43;corpus:near:70.64
00173348	func_00173348	108	branchy	lift	near	89.04	m2c:near:70.25;ghidra:near:42.61;e3:near:33.59
001733f8	func_001733f8	88	float	lift	near	56.61	ghidra:near:49.52;m2c:near:40.33
00173518	func_00173518	64	float	ghidra	near	88.06	m2c:near:63.33;lift:near:43.85
00173558	func_00173558	84	float	lift	near	85.90	m2c:near:52.84;ghidra:near:44.12;e3:near:30.04
001735b0	func_001735b0	92	float	lift	near	87.13	m2c:near:56.85;ghidra:near:35.5;e3:near:20.49
00173808	func_00173808	52	float	m2c	near	38.69	lift:near:38.08;ghidra:near:32.69
00173878	func_00173878	156	branchy	m2c	near	66.90	ghidra:near:58.9;lift:near:56.97
00173918	func_00173918	104	branchy	lift	near	97.23	m2c:near:93.52;ghidra:near:49.14
001739b8	func_001739b8	104	branchy	lift	near	97.23	m2c:near:93.52;ghidra:near:49.14
00173ce8	func_00173ce8	128	vu0	lift	near	83.84	m2c:near:13.53;ghidra:near:0.0
00173dc0	func_00173dc0	76	branchy	twins	exact	100.00	lift:near:84.42;m2c:near:60.04;ghidra:near:46.47
00173e10	func_00173e10	40	float	ghidra	near	73.00	lift:near:39.5;m2c:near:39.5
00173e38	func_00173e38	44	float	lift	exact	100.00	m2c:exact:100.0;ghidra:near:69.0
00173f08	func_00173f08	96	float	lift	near	85.00	m2c:near:73.92;ghidra:near:43.33
00173f68	func_00173f68	140	float	lift	near	94.46	ghidra:near:46.61;m2c:compile:0.0
00174060	func_00174060	44	float	ghidra	near	73.64	lift:near:44.55;m2c:near:44.55
00174168	func_00174168	40	float	ghidra	near	73.00	lift:near:39.5;m2c:near:39.5
001741e0	_ZN2YS24trap_player_capture_formEP8BD_VALUE	44	straight	lift	exact	100.00	e3:exact:100.0;ghidra:exact:100.0;m2c:exact:100.0
00174290	func_00174290	104	straight	lift	exact	100.00	ghidra:exact:100.0;m2c:near:79.03
00174518	func_00174518	64	float	lift	exact	100.00	ghidra:near:88.25;m2c:near:83.06
00174728	func_00174728	44	float	m2c	near	69.91	lift:near:69.5;ghidra:near:31.25
00174858	func_00174858	68	straight	lift	exact	100.00	ghidra:exact:100.0;m2c:near:63.06
00174af8	func_00174af8	48	float	ghidra	near	93.00	lift:near:81.5;m2c:near:63.92
00174b28	func_00174b28	32	float	lift	near	67.50	m2c:near:67.5;ghidra:near:66.88
00174b88	func_00174b88	32	float	lift	near	67.50	m2c:near:67.5;ghidra:near:66.88
00174ba8	_ZN2YS16trap_camera_warpEP8BD_VALUE	32	straight	lift	exact	100.00	e3:exact:100.0;twins:exact:100.0;corpus:exact:100.0;ghidra:exact:100.0;m2c:exact:100.0
00174bc8	_ZN2YS17trap_camera_resetEP8BD_VALUE	32	straight	lift	exact	100.00	e3:exact:100.0;twins:exact:100.0;corpus:exact:100.0;ghidra:exact:100.0;m2c:exact:100.0
00174d18	func_00174d18	32	float	lift	exact	100.00	m2c:exact:100.0;corpus:near:74.75;ghidra:near:74.38
00174d98	_ZN2YS14trap_camera_atEP8BD_VALUE	72	straight	lift	exact	100.00	m2c:exact:100.0;e3:near:38.28;ghidra:near:30.28
00174e10	func_00174e10	40	straight	ghidra	near	81.50	lift:near:58.5;m2c:near:48.33
00174e38	func_00174e38	284	vu0	lift	near	60.68	ghidra:near:0.0;m2c:near:0.0
00175108	func_00175108	36	straight	corpus	near	98.67	lift:near:75.22;ghidra:near:75.22;m2c:near:75.22
001751f8	_ZN2YS20trap_prize_appear_trEP8BD_VALUE	32	straight	corpus	near	87.56	lift:near:66.75;e3:near:66.75;ghidra:near:66.75;m2c:near:66.75
001752e0	func_001752e0	32	float	lift	exact	100.00	m2c:exact:100.0;corpus:near:74.75;ghidra:near:74.38;e3:near:15.35
00175328	func_00175328	36	straight	corpus	near	98.67	lift:near:75.22;ghidra:near:75.22;m2c:near:75.22
00175370	_ZN2YS19trap_tutorial_pauseEP8BD_VALUE	108	straight	lift	exact	100.00	m2c:near:99.96;ghidra:near:55.39;e3:near:53.47
00175480	func_00175480	36	float	lift	exact	100.00	ghidra:near:86.56;m2c:near:32.67
001754d0	_ZN2YS17trap_treasure_getEP8BD_VALUE	48	straight	lift	exact	100.00	e3:exact:100.0;ghidra:exact:100.0;m2c:exact:100.0
001755a4	func_001755a4	204	loop	stub	compile	0.00	ghidra:compile:0.0;m2c:compile:0.0
00175670	func_00175670	288	branchy	lift	near	83.86	m2c:near:74.33;ghidra:near:44.03
00175790	func_00175790	288	branchy	lift	near	83.86	m2c:near:74.33;ghidra:near:44.03
00175928	func_00175928	196	loop	typed	exact	100.00	lift:exact:100.0;m2c:near:99.78;ghidra:near:78.47
001759f0	func_001759f0	124	loop	lift	near	78.23	m2c:near:78.15;ghidra:near:75.24
00175a70	func_00175a70	136	loop	lift	exact	100.00	m2c:near:99.38;ghidra:near:87.66
00175b68	_ZN2YS5PARTY14_OVR_post_execEv	80	branchy	lift	near	66.20	m2c:near:65.38;ghidra:near:54.33;e3:near:44.35
00175bb8	func_00175bb8	208	float	m2c	near	47.75	ghidra:near:29.68;lift:near:0.0
00175c88	_ZN2YS5PARTY12exec_commandERNS_7COMMANDE	732	branchy	m2c	near	87.19	lift:near:68.36;ghidra:near:16.8
00175f68	_Z16wtarget_00175f68jjjj	512	branchy	m2c	near	76.12	lift:near:67.75;ghidra:near:0.0
00176168	func_00176168	240	float	ghidra	near	73.01	lift:near:65.49;m2c:near:61.15;e3:near:44.66
00176258	func_00176258	100	loop	lift	exact	100.00	m2c:near:99.96;ghidra:near:41.88
001762f8	_ZN2YS5PARTY16_OVR_exec_damageEPNS_6DAMAGEE	348	branchy	lift	near	71.77	ghidra:near:59.08;m2c:compile:0.0
00176458	func_00176458	452	float	m2c	near	44.23	ghidra:near:41.3;lift:near:0.0
00176620	func_00176620	92	float	typed	exact	100.00	lift:exact:100.0;m2c:near:64.48;ghidra:near:64.08
00176680	func_00176680	224	vu0	lift	near	79.89	ghidra:near:27.05;m2c:near:10.04
00176818	func_00176818	76	float	lift	exact	100.00	m2c:near:78.89;ghidra:near:75.25
00176868	func_00176868	264	float	ghidra	near	85.67	m2c:near:37.7;lift:near:12.93
00176970	func_00176970	236	vu0	lift	near	80.31	ghidra:near:46.5;m2c:compile:0.0
00176a90	func_00176a90	140	float	m2c	near	68.40	ghidra:near:66.28;lift:near:37.17
00176b58	_ZN2YS5PARTY9GetByPartEi	136	loop	m2c	exact	100.00	ghidra:near:63.82;lift:near:34.21
00176be0	_ZN2YS5PARTY11prize_recovEf	136	float	lift	exact	100.00	m2c:near:76.83;ghidra:near:68.0
00176c68	func_00176c68	100	float	lift	near	90.93	m2c:near:69.41;ghidra:near:47.82
00176cd0	func_00176cd0	152	branchy	lift	near	95.64	ghidra:near:80.98;m2c:near:68.06
00176d68	_ZN2YS5PARTY10voice_partEi	72	straight	lift	exact	100.00	m2c:exact:100.0;ghidra:near:78.95;corpus:near:77.5
