ee_addr	ppc_addr	votes	c_ident	mangled	demangled	dwarf_type
0035eeb0	00ad2f98	2.0	Tz__CampMenu__m_WorldMapType	_ZN2Tz8CampMenu14m_WorldMapTypeE	Tz::CampMenu::m_WorldMapType	int
0035eec0	007fd574	2.0	Tz__s_Fname	_ZN2Tz7s_FnameE	Tz::s_Fname	const char *[7]
0035eec4	00713b5f	1.0	LS_10_LV_0	LS.10.LV.0	LS.10.LV.0	
0035ef50	00ad3270	3.0	Tz__CMData__m_TotalSize	_ZN2Tz6CMData11m_TotalSizeE	Tz::CMData::m_TotalSize	int
0035ef58	00ad3278	5.0	Tz__CMData__m_BackRead	_ZN2Tz6CMData10m_BackReadE	Tz::CMData::m_BackRead	BOOL_1
0035ef60	007fd748	2.0	Tz__s_DispDelay	_ZN2Tz11s_DispDelayE	Tz::s_DispDelay	bool
0035ef6c	007fd6fc	24.0	Tz__CmTop__m_DummySeq	_ZN2Tz5CmTop10m_DummySeqE	Tz::CmTop::m_DummySeq	int
0035ef70	00b5b828	2.0	Tz__CmTop__m_EnableSelector	_ZN2Tz5CmTop16m_EnableSelectorE	Tz::CmTop::m_EnableSelector	u_short
0035f010	007fd700	47.0	Tz__CmTop__m_PartyInfo	_ZN2Tz5CmTop11m_PartyInfoE	Tz::CmTop::m_PartyInfo	Tz::PartyInfo *
0035f014	007fd704	6.0	Tz__CmTop__m_ItemInfo	_ZN2Tz5CmTop10m_ItemInfoE	Tz::CmTop::m_ItemInfo	Tz::ItemInfo *
0035f018	007fd708	5.0	Tz__CmTop__m_ItemStat	_ZN2Tz5CmTop10m_ItemStatE	Tz::CmTop::m_ItemStat	Tz::ItemStat *
0035f01c	007fd70c	96.0	Tz__CmTop__m_MenuPtr	_ZN2Tz5CmTop9m_MenuPtrE	Tz::CmTop::m_MenuPtr	Tz::Select *
0035f020	007fd710	11.0	Tz__CmTop__m_MenuPtr2	_ZN2Tz5CmTop10m_MenuPtr2E	Tz::CmTop::m_MenuPtr2	Tz::Select *
0035f024	007fd714	21.0	Tz__CmTop__m_SelPtr	_ZN2Tz5CmTop8m_SelPtrE	Tz::CmTop::m_SelPtr	Tz::Select *
0035f028	007fd718	2.0	Tz__CmTop__m_Base	_ZN2Tz5CmTop6m_BaseE	Tz::CmTop::m_Base	dk::Sprite *
0035f030	007fd720	3.0	Tz__CmTop__m_Delay	_ZN2Tz5CmTop7m_DelayE	Tz::CmTop::m_Delay	dk::Sprite *
