ee_addr	size	class	cov_status	cov_source	cov_fuzzy	ppc_addr	mangled	demangled	decl_file	conf
001136b8	292	loop	near	m2c	75.53	000e6b68	_ZN2kn17FriendPersonality15linkActionParamEv	kn::FriendPersonality::linkActionParam()		med
0011c8f8	292	loop	near	ghidra	79.89	000edd30	_ZN2kn8ModelObj5draw_EPNS_9DrawParamEbPNS_5ModelEPPN3Axa11DMA_SET_TAGEPc	kn::ModelObj::draw_(kn::DrawParam*, bool, kn::Model*, Axa::DMA_SET_TAG**, char*)		sim-med
00137058	292	loop	near	lift	84.19	00043dd8	_ZN2dk3BGM8typeHoldEPi	dk::BGM::typeHold(int*)		sim-low
00146f28	292	loop	near	lift	70.94	000adeac	_ZN2dk11OctDrawFile16insertDrawObjectEPNS_11ObjDrawListEb	dk::OctDrawFile::insertDrawObject(dk::ObjDrawList*, bool)		sim-med
00228ab0	292	float	near	lift	95.62	002ddec0	_ZN2sa14MUSICAL_GAUGE36createEv	sa::MUSICAL_GAUGE3::create()		med
00259e90	292	loop	near	lift	91.25	0030b8d4	_ZN2Tz8CmSLBase9SetupSlotEv	Tz::CmSLBase::SetupSlot()		high
0026bab8	292	loop	near	lift	82.77	002fe658	_ZN2Tz7CmParty4ExitEv	Tz::CmParty::Exit()		sim-med
0026d620	292	branchy	near	lift	97.66	002ffa1c	_ZN2Tz7CmParty18UpdateTopSelActiveEib	Tz::CmParty::UpdateTopSelActive(int, bool)		med
00291380	292	branchy	near	ghidra	81.84	00324260	_ZN2Tz8ItemStat10CheckParamEi	Tz::ItemStat::CheckParam(int)		med
002933d8	292	loop	near	ghidra	80.08	0038a740	_ZN2Tz9ChgWeapon3SetEiiiPNS0_4InfoE	Tz::ChgWeapon::Set(int, int, int, Tz::ChgWeapon::Info*)		sim-low
0029a5f0	292	loop	near	lift	63.60	00330664	_ZN2Tz12JmCollection10Cur2SelNumEi	Tz::JmCollection::Cur2SelNum(int)		high
002ae768	292	loop	near	ghidra	52.58	003355dc	_ZN2Tz10JmComplete16isPuzzleGameCompEi	Tz::JmComplete::isPuzzleGameComp(int)		high
002b2f28	292	branchy	near	lift	85.34	00351348	_ZN2Tz8JmPuzzle10HideCursorEi	Tz::JmPuzzle::HideCursor(int)		med
