ee_addr	size	class	cov_status	cov_source	cov_fuzzy	ppc_addr	mangled	demangled	decl_file	conf
002ad580	220	loop	near	ghidra	92.38	00333888	_ZN2Tz10JmComplete11CheckBattleEv	Tz::JmComplete::CheckBattle()		high
002adbd0	220	loop	near	lift	81.98	00333258	_ZN2Tz10JmComplete9CheckNaviEv	Tz::JmComplete::CheckNavi()		med
002adcb0	220	loop	near	ghidra	85.23	00334fec	_ZN2Tz10JmComplete10isNaviCompEi	Tz::JmComplete::isNaviComp(int)		high
001285f8	216	float	near	lift	89.41	000fa028	_ZN2kn16MotionPrototype012getTimeIndexEfRiS1_	kn::MotionPrototype0::getTimeIndex(float, int&, int&)		sim-med
0013a6f8	216	loop	near	lift	90.98	000517d0	_ZN2dk8Field2DD8initAreaEv	dk::Field2DD::initArea()		sim-med
00145ab8	216	loop	near	ghidra	71.38	000b1388	_ZN2dk11OctDrawFileD1Ev	dk::OctDrawFile::~OctDrawFile()		sim-low
0014ca80	216	float	near	ghidra	73.06	000496b8	_ZN2dk5Clock13vCountToHMSMSEjRjS1_S1_S1_	dk::Clock::vCountToHMSMS(unsigned int, unsigned int&, unsigned int&, unsigned int&, unsigned int&)		high
001506e0	216	loop	near	lift	93.72	000b84e4	_ZN2dk7COUNTER10forceLeaveEv	dk::COUNTER::forceLeave()		med
00150940	216	branchy	near	m2c	81.83	000a8b4c	_ZN2dk18INFORMATION_WINDOW10setMessageEPKN2YS7MESSAGEE	dk::INFORMATION_WINDOW::setMessage(YS::MESSAGE const*)		med
00151c70	216	loop	near	lift	93.72	000a92cc	_ZN2dk13MISSION_GAUGE10forceLeaveEv	dk::MISSION_GAUGE::forceLeave()		high
0015ca40	216	float	near	lift	68.07	000611f8	_ZN2dk8MapColor5setupEPS0_	dk::MapColor::setup(dk::MapColor*)		sim-med
00184eb8	216	float	near	lift	93.18	00471958	_ZN2YS3OBJ8set_pathEiPNS_10UNIT_GROUPE	YS::OBJ::set_path(int, YS::UNIT_GROUP*)		med
00187650	216	float	near	lift	61.67	00413b54	_ZN2YS6BTLOBJ6add_mpEib	YS::BTLOBJ::add_mp(int, bool)		high
00187fd8	216	branchy	near	lift	79.51	003fff64	_ZN2YS3ACT5startEPKNS0_5TABLE4ELEME	YS::ACT::start(YS::ACT::TABLE::ELEM const*)		med
001991a8	216	switch	near	m2c	98.16	0049b708	_ZN2YS6SIGNAL4CallEii	YS::SIGNAL::Call(int, int)		sim-low
001a24a0	216	loop	near	lift	99.59	00497d48	_ZN2YS5SHEET10apply_itemEi	YS::SHEET::apply_item(int)		med
001a2d78	216	loop	near	m2c	76.56	00437a48	_ZN2YS4ITEM6CanUseEii	YS::ITEM::CanUse(int, int)		high
001bcd08	216	loop	near	e3	11.93	0041c5b0	_ZN2YS12COMMAND_MENU11check_closeEv	YS::COMMAND_MENU::check_close()		high
001c1a30	216	float	near	lift	64.63	0044885c	_ZN2YS10MASSEFFECT14make_referenceERNS0_9REFERENCEE	YS::MASSEFFECT::make_reference(YS::MASSEFFECT::REFERENCE&)		sim-med
001c2eb8	216	loop	near	m2c	82.98	00481fd8	_ZN2YS11PLAYERPARAM5ApplyEi	YS::PLAYERPARAM::Apply(int)		sim-med
001cd548	216	branchy	near	lift	74.57	004c03fc	_ZN2YS10WORLDSTART7GetAreaEi	YS::WORLDSTART::GetArea(int)		sim-low
001d4ae0	216	branchy	near	lift	25.37	0049fbac	_ZN2YS15SPECIAL_COMMAND20make_skateboard_menuEPNS_4SORAEPNS_12COMMAND_MENUE	YS::SPECIAL_COMMAND::make_skateboard_menu(YS::SORA*, YS::COMMAND_MENU*)		sim-med
0023dd28	216	float	near	lift	96.87	00374840	_ZN2Tz7MenuObj16SetProjectionPosEiii	Tz::MenuObj::SetProjectionPos(int, int, int)		med
00240a70	216	loop	near	m2c	49.89	00369e34	_ZN2Tz5MCard20CopySaveRam2DataBuffEPv	Tz::MCard::CopySaveRam2DataBuff(void*)		sim-med
00248900	216	branchy	near	lift	97.73	003cab68	_ZN2Tz4MUMI7ControlEv	Tz::MUMI::Control()		med
0024a270	216	branchy	near	lift	97.73	003cd504	_ZN2Tz4TRTE7ControlEv	Tz::TRTE::Control()		med
0024bd90	216	branchy	near	lift	97.73	003be114	_ZN2Tz4HBTE7ControlEv	Tz::HBTE::Control()		med
0024d6c8	216	branchy	near	lift	97.73	003d205c	_ZN2Tz4TTPT7ControlEv	Tz::TTPT::Control()		med
0024ff08	216	branchy	near	lift	97.73	003c891c	_ZN2Tz4LMMU7ControlEv	Tz::LMMU::Control()		high
00252540	216	branchy	near	lift	94.05	003b9d7c	_ZN2Tz4CANA9UpdateGraEv	Tz::CANA::UpdateGra()		high
00257458	216	branchy	near	lift	94.67	0031586c	_ZN2Tz5CmTop15SetupWarningWinEPKN2YS7MESSAGEEi	Tz::CmTop::SetupWarningWin(YS::MESSAGE const*, int)		sim-sandwich
002655e8	216	loop	near	lift	94.78	003b404c	_ZN2Tz6CmStat12LeaveTopListEv	Tz::CmStat::LeaveTopList()		sim-med
00281d48	216	float	near	lift	84.59	00320768	_ZN2Tz11ItemPicDraw12ChkLoadEntryEv	Tz::ItemPicDraw::ChkLoadEntry()		sim-med
002aa220	216	loop	near	lift	76.44	00345b28	_ZN2Tz9JmNewInfo10CheckAnsemEv	Tz::JmNewInfo::CheckAnsem()		sim-med
002aa960	216	loop	near	lift	76.44	0034562c	_ZN2Tz9JmNewInfo11CheckBattleEv	Tz::JmNewInfo::CheckBattle()		sim-med
002ad4a8	216	loop	near	m2c	55.06	003347c0	_ZN2Tz10JmComplete11isAlbumCompEi	Tz::JmComplete::isAlbumComp(int)		high
